38.1	-285.7	37.9	-2.9	269.3
38.1	-285.7	27.9	-2.9	269.3
38.1	-285.7	17.9	-2.9	269.3
38.1	-285.7	7.9	-2.9	269.3
38.1	-285.7	-2.1	-2.9	269.3
38.1	-285.7	-12.1	-2.9	269.3
38.1	-285.7	-22.1	-2.9	269.3
38.1	-285.7	-32.1	-2.9	269.3
38.1	-285.7	-42.1	-2.9	269.3
38.1	-285.7	-52.1	-2.9	269.3
38.1	-285.7	-62.1	-2.9	269.3
38.1	-285.7	-72.1	-2.9	269.3
38.1	-285.7	-82.1	-2.9	269.3
38.1	-285.7	-92.1	-2.9	269.3
38.1	-285.7	-102.1	-2.9	269.3
38.1	-285.7	-112.1	-2.9	269.3
38.1	-285.7	-122.1	-2.9	269.3
38.1	-285.7	-132.1	-2.9	269.3
38.1	-285.7	-142.1	-2.9	269.3
38.1	-285.7	-152.1	-2.9	269.3
38.1	-285.7	-162.1	-2.9	269.3
38.1	-285.7	-172.1	-2.9	269.3
38.1	-285.7	-182.1	-2.9	269.3
38.1	-285.7	-192.1	-2.9	269.3
38.1	-285.7	-202.1	-2.9	269.3
38.1	-285.7	-212.1	-2.9	269.3
38.1	-285.7	-222.1	-2.9	269.3
38.1	-285.7	-232.1	-2.9	269.3
38.1	-285.7	-242.1	-2.9	269.3
38.1	-285.7	-252.1	-2.9	269.3
38.1	-285.7	-262.1	-2.9	269.3
38.1	-285.7	-272.1	-2.9	269.3
38.1	-285.7	-282.1	-2.9	269.3
38.1	-285.7	-292.1	-2.9	269.3
38.1	-285.7	-302.1	-2.9	269.3
38.1	-285.7	-312.1	-2.9	269.3
38.1	-285.7	-322.1	-2.9	269.3
38.1	-285.7	-332.1	-2.9	269.3
38.1	-285.7	-342.1	-2.9	269.3
38.1	-285.7	-352.1	-2.9	269.3
38.1	-285.7	-362.1	-2.9	269.3
38.1	-285.7	-372.1	-2.9	269.3
38.1	-285.7	-382.1	-2.9	269.3
38.1	-285.7	-392.1	-2.9	269.3
38.1	-285.7	-402.1	-2.9	269.3
38.1	-285.7	-412.1	-2.9	269.3
38.1	-285.7	-422.1	-2.9	269.3
38.1	-285.7	-432.1	-2.9	269.3
38.1	-285.7	-442.1	-2.9	269.3
38.1	-285.7	-452.1	-2.9	269.3
38.1	-285.7	-462.1	-2.9	269.3
38.1	-285.7	-472.1	-2.9	269.3
38.1	-285.7	-482.1	-2.9	269.3
38.1	-285.7	-492.1	-2.9	269.3
38.1	-275.7	-492.1	-2.9	266.8
38.1	-275.7	-482.1	-2.9	266.8
38.1	-275.7	-472.1	-2.9	266.8
38.1	-275.7	-462.1	-2.9	266.8
38.1	-275.7	-452.1	-2.9	266.8
38.1	-275.7	-442.1	-2.9	266.8
38.1	-275.7	-432.1	-2.9	266.8
38.1	-275.7	-422.1	-2.9	266.8
38.1	-275.7	-412.1	-2.9	266.8
38.1	-275.7	-402.1	-2.9	266.8
38.1	-275.7	-392.1	-2.9	266.8
38.1	-275.7	-382.1	-2.9	266.8
38.1	-275.7	-372.1	-2.9	266.8
38.1	-275.7	-362.1	-2.9	266.8
38.1	-275.7	-352.1	-2.9	266.8
